token,namespace,count
MED_YELLOW_CADD_CASSETTE,medication,501
MED_FERRIC_GLUCONATE,medication,500
DX_9_78659,diagnosis,499
DX_10_J189,diagnosis,497
MED_CYCLOSPORINE_NEORAL_MODIFIED,medication,494
MED_MUPIROCIN_OINTMENT_2,medication,494
DX_9_40391,diagnosis,488
MED_SODIUM_CHLORIDE_3_HYPERTONIC,medication,483
DX_10_E6601,diagnosis,481
DX_10_Z370,diagnosis,477
DX_10_N183,diagnosis,469
DX_10_Y92239,diagnosis,468
DX_9_E8497,diagnosis,460
MED_ALBUMIN_5,medication,458
DX_10_Y838,diagnosis,455
MED_MAALOX_DIPHENHYDRAMINE_LIDOCAINE,medication,445
MED_SODIUM_CITRATE_4,medication,441
DX_10_E43,diagnosis,438
MED_GUAIFENESIN_DEXTROMETHORPHAN,medication,438
DX_10_A419,diagnosis,438
DX_10_Y92009,diagnosis,436
DX_9_71590,diagnosis,433
MED_GUAIFENESIN_ER,medication,427
MED_TOPIRAMATE_TOPAMAX,medication,426
DX_10_Z781,diagnosis,421
DX_10_Z20828,diagnosis,417
MED_NIFEDIPINE_CR,medication,416
DX_9_V4501,diagnosis,413
DX_9_4168,diagnosis,411
MED_SYRINGE_ISO_OSMOTIC_DEXTROSE,medication,409
MED_POTASSIUM_CHL_20_MEQ_1000_ML_NS,medication,405
MED_INSULIN_REGULAR_FOR_HYPERKALEMIA,medication,401
MED_ALBUMIN_25,medication,400
DX_10_Z85828,diagnosis,398
DX_9_5853,diagnosis,395
MED_DERMOPLAST_SPRAY,medication,394
MED_CARBIDOPA_LEVODOPA_25_100,medication,392
MED_CREON_12,medication,383
DX_10_T451X5A,diagnosis,383
DX_9_25060,diagnosis,382
DX_10_Z853,diagnosis,380
MED_DIVALPROEX_DELAYED_RELEASE,medication,379
MED_PRISMASATE_B22_K4,medication,379
MED_TETANUS_DIPHTOX_ACELLULAR_PERTUSS_ADACEL,medication,375
MED_BRIMONIDINE_TARTRATE_0_15_OPHTH,medication,373
DX_9_34590,diagnosis,372
MED_PHENOBARBITAL_ALCOHOL_WITHDRAWAL_DOSE_TAPER_DAYS_2_7,medication,369
DX_10_Z8249,diagnosis,369
DX_9_5715,diagnosis,366
DX_9_V103,diagnosis,365
DX_10_E1140,diagnosis,364
MED_INSULIN_REGULAR_HUMAN_U_500,medication,361
DX_9_V1046,diagnosis,356
MED_DEXTROSE_10_IN_WATER_D10W,medication,351
DX_9_E8490,diagnosis,349
MED_CEPACOL_MENTHOL,medication,349
MED_HYDROCODONE_ACETAMINOPHEN,medication,347
MED_MULTIVITAMIN_IV,medication,344
MED_HEPARIN_HEMODIALYSIS,medication,344
DX_10_D6959,diagnosis,343
DX_9_07070,diagnosis,343
DX_10_Z950,diagnosis,338
DX_9_V1581,diagnosis,336
DX_10_Z8546,diagnosis,335
DX_9_V4365,diagnosis,333
MED_TIMOLOL_MALEATE_0_5,medication,332
MED_FISH_OIL_OMEGA_3,medication,331
MED_0_83_SODIUM_CHLORIDE,medication,330
MED_FLUTICASONE_SALMETEROL_DISKUS_500_50,medication,328
DX_10_R6521,diagnosis,328
DX_9_E8798,diagnosis,327
MED_POTASSIUM_CHL_40_MEQ_1000_ML_D5_1_2_NS,medication,325
DX_9_07054,diagnosis,322
MED_GUAIFENESIN_CODEINE_PHOSPHATE,medication,322
MED_HEPARIN_FLUSH_1000_UNITS_ML,medication,317
DX_9_34690,diagnosis,314
DX_9_4254,diagnosis,307
DX_9_78959,diagnosis,306
MED_D10W,medication,304
DX_9_E8788,diagnosis,303
DX_10_Z9114,diagnosis,301
DX_9_V153,diagnosis,301
MED_INSULIN_SYRINGE_U_500,medication,299
MED_ARTIFICIAL_TEAR_OINTMENT,medication,296
MED_DORZOLAMIDE_2_TIMOLOL_0_5_OPHTH,medication,295
MED_PIPERACILLIN_TAZOBACTAM_NA,medication,294
DX_9_79092,diagnosis,294
DX_10_Z006,diagnosis,291
DX_9_7242,diagnosis,291
MED_INSULIN_GLARGINE_CVICU_PROTOCOL,medication,291
MED_ATOVAQUONE_SUSPENSION,medication,287
MED_ERYTHROMYCIN_0_5_OPHTH_OINT,medication,286
DX_10_E1151,diagnosis,285
DX_10_Y848,diagnosis,284
MED_VERAPAMIL_SR,medication,282
DX_10_R740,diagnosis,282
DX_9_99592,diagnosis,281
DX_9_V8741,diagnosis,281
MED_LIDOCAINE_VISCOUS_2,medication,280
DX_9_E9331,diagnosis,280
DX_9_V4511,diagnosis,278
MED_MOUTH_CARE_ORAL_RINSE,medication,277
DX_10_Z6841,diagnosis,273
MED_VITAMIN_D3_CHOLECALCIFEROL,medication,270
DX_10_F10129,diagnosis,270
MED_GASTROVIEW_DIATRIZOATE_MEGLUMINE_SODIUM,medication,268
DX_10_Z9981,diagnosis,267
DX_10_I350,diagnosis,266
DX_10_Z5111,diagnosis,263
DX_9_E8859,diagnosis,263
MED_CITRATE_DEXTROSE_3_ACD_A_CRRT,medication,263
DX_9_V1083,diagnosis,260
MED_POTASSIUM_CHL_40_MEQ_1000_ML_NS,medication,260
DX_9_3569,diagnosis,259
DX_9_56210,diagnosis,258
MED_DIVALPROEX_EXTENDED_RELEASE,medication,258
DX_9_V1588,diagnosis,257
MED_TUBERCULIN_PROTEIN,medication,257
MED_ENOXAPARIN_TREATMENT,medication,256
MED_PREDNISOLONE_ACETATE_1_OPHTH_SUSP,medication,256
DX_9_V4589,diagnosis,254
MED_NIFEDIPINE_EXTENDED_RELEASE,medication,253
MED_SODIUM_CHLORIDE_3_INHALATION_SOLN,medication,253
MED_ALBUTEROL_IPRATROPIUM,medication,252
DX_9_0389,diagnosis,252
DX_9_6826,diagnosis,252
DX_10_D638,diagnosis,250
MED_PHENYTOIN_SODIUM_EXTENDED,medication,250
DX_10_F1010,diagnosis,248
DX_9_E8499,diagnosis,248
DX_10_W19XXXA,diagnosis,248
DX_9_41071,diagnosis,247
DX_10_Z9049,diagnosis,245
MED_LACTULOSE_ENEMA,medication,244
MED_DULOXETINE_DR,medication,240
DX_10_E1142,diagnosis,239
DX_9_5070,diagnosis,237
DX_10_Z681,diagnosis,237
MED_ANTI_THYMOCYTE_GLOBULIN_RABBIT,medication,237
DX_9_V5865,diagnosis,236
DX_9_V4364,diagnosis,234
DX_10_I120,diagnosis,233
DX_10_N1830,diagnosis,233
DX_10_N401,diagnosis,232
DX_9_7291,diagnosis,231
MED_FLUTICASONE_SALMETEROL_DISKUS_100_50,medication,230
DX_10_I340,diagnosis,228
MED_FILGRASTIM_SNDZ,medication,227
DX_9_E8781,diagnosis,227
DX_10_Y832,diagnosis,226
DX_9_V173,diagnosis,224
DX_9_V707,diagnosis,224
MED_FLEET_ENEMA,medication,224
MED_BACITRACIN_OINTMENT,medication,224
DX_9_V600,diagnosis,221
DX_10_M545,diagnosis,220
DX_9_64891,diagnosis,219
DX_10_Z9884,diagnosis,219
DX_10_Z1159,diagnosis,218
DX_9_25040,diagnosis,218
MED_ARTIFICIAL_TEARS_PRESERV_FREE,medication,218
DX_10_Z720,diagnosis,217
MED_EPOETIN_ALFA_EPBX_RETACRIT,medication,217
DX_9_7904,diagnosis,215
MED_GAMMAGARD_LIQUID,medication,214
DX_10_I4892,diagnosis,211
DX_10_T380X5A,diagnosis,210
MED_METHYLPHENIDATE_RITALIN,medication,210
DX_10_R338,diagnosis,209
DX_9_V1255,diagnosis,209
DX_10_E11319,diagnosis,207
DX_10_Z7984,diagnosis,207
DX_9_45829,diagnosis,207
DX_9_5533,diagnosis,206
DX_10_D61818,diagnosis,206
DX_9_29420,diagnosis,205
DX_9_2930,diagnosis,205
DX_9_V1005,diagnosis,205
DX_10_C787,diagnosis,204
DX_10_Z923,diagnosis,202
DX_9_70715,diagnosis,202
MED_DIPHENOXYLATE_ATROPINE,medication,201
DX_9_E8780,diagnosis,201
MED_LIDOCAINE_2,medication,201
DX_10_N184,diagnosis,200
MED_0_9_SODIUM_CHLORIDE_EXCEL_BAG,medication,199
MED_FLEET_ENEMA_SALINE,medication,199
DX_10_Z590,diagnosis,198
DX_9_E8782,diagnosis,198
DX_9_78039,diagnosis,195
MED_LIDOCAINE_5_OINTMENT,medication,194
DX_9_49320,diagnosis,194
DX_9_70703,diagnosis,194
DX_10_Z952,diagnosis,193
MED_VALPROATE_SODIUM,medication,193
DX_9_V4586,diagnosis,192
MED_PSYLLIUM_WAFER,medication,191
DX_10_B9689,diagnosis,189
MED_ARTIFICIAL_TEARS_GEL_1,medication,189
MED_NITROFURANTOIN_MONOHYD_MACROBID,medication,188
DX_10_Z8616,diagnosis,187
DX_9_V5869,diagnosis,187
DX_9_28529,diagnosis,186
MED_DIAZEPAM_CIWA_PROTOCOL,medication,186
MED_PRENATAL_VITAMINS,medication,186
DX_9_V4502,diagnosis,185
DX_9_78079,diagnosis,184
DX_9_5845,diagnosis,183
MED_POTASSIUM_CHL_20_MEQ_1000_ML_D5NS,medication,183
DX_10_Z7982,diagnosis,182
DX_9_99859,diagnosis,182
DX_9_00845,diagnosis,182
DX_10_E440,diagnosis,181
DX_9_V433,diagnosis,178
DX_9_29410,diagnosis,177
MED_EPOPROSTENOL_VELETRI,medication,176
MED_BUPROPION_XL_ONCE_DAILY,medication,176
MED_SYRINGE_CHEMO,medication,176
DX_10_X58XXXA,diagnosis,175
MED_MANNITOL_20,medication,175
DX_9_4148,diagnosis,174
DX_9_43889,diagnosis,174
MED_OXYCODONE_ACETAMINOPHEN_ELIXIR,medication,174
MED_HEPARIN_CRRT_MACHINE_PRIMING,medication,174
MED_METFORMIN_XR_GLUCOPHAGE_XR,medication,173
MED_0_9_NACL_EXCEL_VIAFLO_BAG,medication,173
DX_10_Z9221,diagnosis,172
MED_CEPASTAT_PHENOL_LOZENGE,medication,171
DX_10_E11649,diagnosis,171
DX_9_V454,diagnosis,170
DX_9_72989,diagnosis,169
MED_GLIPIZIDE_XL,medication,169
DX_10_I8510,diagnosis,168
DX_10_Z8619,diagnosis,167
DX_9_51889,diagnosis,166
DX_10_Z85038,diagnosis,164
MED_EMTRICITABINE_TENOFOVIR_TRUVADA,medication,163
DX_10_R791,diagnosis,163
DX_9_V08,diagnosis,163
DX_10_Z915,diagnosis,161
MED_HYDROCODONE_ACETAMINOPHEN_5MG_325MG,medication,161
DX_10_K7031,diagnosis,160
DX_9_V5811,diagnosis,160
DX_10_Z95810,diagnosis,159
DX_9_53550,diagnosis,159
DX_10_I132,diagnosis,159
DX_9_E9342,diagnosis,158
DX_9_V667,diagnosis,157
MED_MORPHINE_SULFATE_ORAL_SOLN,medication,156
DX_10_Z96653,diagnosis,156
MED_IOHEXOL_240_OMNIPAQUE_240,medication,156
DX_10_Z96651,diagnosis,156
DX_10_F17200,diagnosis,156
MED_MYCOPHENOLATE_SODIUM_DR,medication,155
DX_10_F1290,diagnosis,155
DX_9_4139,diagnosis,154
MED_VINCRISTINE_ONCOVIN,medication,154
MED_DEXAMETHASONE_SOD_PHOSPHATE,medication,153
DX_9_43310,diagnosis,153
DX_9_V462,diagnosis,152
DX_10_M8580,diagnosis,152
DX_10_Z6842,diagnosis,152
DX_9_78609,diagnosis,152
DX_10_I25110,diagnosis,152
DX_9_5718,diagnosis,151
DX_9_25080,diagnosis,150
DX_9_56409,diagnosis,150
DX_9_V4987,diagnosis,148
DX_10_Z3A39,diagnosis,148
DX_9_V420,diagnosis,147
DX_9_25050,diagnosis,147
DX_10_Z21,diagnosis,147
DX_10_I272,diagnosis,146
DX_9_2948,diagnosis,146
MED_PSYLLIUM_POWDER,medication,146
MED_ISOTONIC_SODIUM_CHLORIDE,medication,146
MED_CEFTRIAXONE_DESENSITIZATION,medication,146
DX_10_W010XXA,diagnosis,145
DX_10_F1120,diagnosis,145
DX_10_Z87440,diagnosis,144
DX_10_F0280,diagnosis,144
MED_EPINEPHRINE_EPIPEN,medication,143
DX_9_60001,diagnosis,143
DX_10_R7401,diagnosis,143
MED_CAPHOSOL,medication,143
DX_9_V4572,diagnosis,143
DX_9_41519,diagnosis,142
DX_9_V0481,diagnosis,142
DX_10_Z6843,diagnosis,142
DX_9_V4579,diagnosis,142
DX_9_30391,diagnosis,141
DX_9_58381,diagnosis,141
DX_9_V1082,diagnosis,141
DX_10_Z940,diagnosis,141
DX_10_W1830XA,diagnosis,141
DX_10_T402X5A,diagnosis,141
DX_9_V1272,diagnosis,141
DX_10_R569,diagnosis,140
DX_10_B952,diagnosis,140
MED_BOTTLE,medication,140
DX_9_45621,diagnosis,140
DX_9_78009,diagnosis,140
MED_NYSTATIN_CREAM,medication,139
DX_9_2662,diagnosis,139
DX_10_J9621,diagnosis,139
DX_10_Y831,diagnosis,138
MED_HYDROCORTISONE_RECTAL_2_5_CREAM,medication,138
DX_10_Y9289,diagnosis,138
MED_FLEET_ENEMA_MINERAL_OIL,medication,138
DX_10_K567,diagnosis,137
DX_10_F1021,diagnosis,137
DX_9_04104,diagnosis,137
MED_CHOLESTYRAMINE,medication,135
DX_9_V0251,diagnosis,135
DX_10_Z993,diagnosis,134
DX_10_Y92234,diagnosis,134
DX_9_5854,diagnosis,134
MED_TRIAMCINOLONE_ACETONIDE_0_1_CREAM,medication,134
DX_9_71536,diagnosis,133
DX_9_30390,diagnosis,133
MED_METHYLPREDNISOLONE_NA_SUC,medication,132
DX_9_0414,diagnosis,132
DX_10_Z85820,diagnosis,132
MED_SYRINGE_STERILE_WATER,medication,132
MED_NICOTINE_LOZENGE,medication,131
DX_10_K3189,diagnosis,130
DX_10_T45515A,diagnosis,130
MED_AQUAPHOR_OINTMENT,medication,129
MED_INSULIN_PUMP_SELF_ADMINISTERING_MEDICATION,medication,129
DX_10_E11621,diagnosis,129
DX_9_25002,diagnosis,128
DX_10_I428,diagnosis,128
DX_10_Z85118,diagnosis,128
MED_LIDOCAINE_JELLY_2,medication,127
DX_10_B961,diagnosis,127
DX_10_O76,diagnosis,127
DX_9_79029,diagnosis,126
DX_9_04111,diagnosis,126
MED_CALCITONIN_SALMON,medication,126
DX_9_78909,diagnosis,125
